,AGE,CHILD_TOTAL,DEPENDANTS,OWN_AUTO,PERSONAL_INCOME,TOTAL_LOANS,CLOSED_LOANS,WORK_YEARS,GENDER,MARITAL_STATUS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,FL_PRESENCE_FL,TARGET
0,42,1,0,0,25000.0,1,0.0,0.0,1,Не состоял в браке,1,0,1,1.0
1,28,1,1,0,10000.0,1,0.0,0.0,1,Состою в браке,1,0,0,0.0
2,64,2,0,1,30000.0,1,1.0,30.0,0,Состою в браке,1,1,0,0.0
3,54,0,0,1,25000.0,1,0.0,0.0,1,Состою в браке,1,0,1,0.0
4,26,1,1,0,15000.0,2,2.0,1.0,0,Состою в браке,1,0,1,0.0
6,63,2,0,0,7800.0,1,1.0,0.0,1,Состою в браке,0,1,0,0.0
7,32,0,0,0,12000.0,1,0.0,8.0,0,Состою в браке,1,0,0,1.0
8,52,1,0,0,8000.0,3,3.0,18.0,1,Состою в браке,1,0,1,0.0
11,47,2,0,0,10000.0,1,0.0,0.0,0,Состою в браке,1,0,0,0.0
12,23,0,0,0,7000.0,1,1.0,1.0,1,Не состоял в браке,1,0,0,0.0
13,42,2,1,0,9000.0,1,0.0,19.0,1,Состою в браке,1,0,0,0.0
14,31,0,0,0,12000.0,1,0.0,0.0,1,Не состоял в браке,1,0,1,0.0
15,25,0,0,0,4900.0,1,1.0,3.0,1,Состою в браке,1,0,0,0.0
16,37,2,2,0,20000.0,1,0.0,1.0,1,Состою в браке,1,0,0,0.0
17,52,3,0,0,5500.0,1,0.0,0.0,1,Вдовец/Вдова,0,1,1,0.0
18,46,2,0,0,55000.0,2,2.0,4.0,1,Не состоял в браке,1,0,0,0.0
20,28,1,1,0,8500.0,1,0.0,5.0,1,Не состоял в браке,1,0,0,0.0
21,62,0,0,0,8000.0,1,0.0,0.0,1,Не состоял в браке,0,1,0,0.0
22,50,1,0,1,20000.0,1,0.0,18.0,0,Состою в браке,1,0,1,0.0
23,30,2,2,0,5000.0,1,0.0,0.0,1,Состою в браке,1,0,0,1.0
24,64,0,0,0,9000.0,1,0.0,0.0,0,Не состоял в браке,0,1,1,0.0
25,41,0,0,0,6500.0,1,0.0,2.0,1,Состою в браке,1,0,0,0.0
