Feature,Coefficient
SOCSTATUS_WORK_FL_0,-0.5236048448413692
CLOSED_LOANS,-0.4588925124650355
SOCSTATUS_WORK_FL_1,0.3729082021668113
PERSONAL_INCOME,0.2797013337918548
WORK_YEARS,-0.27246342202399904
TOTAL_LOANS,0.26883485273281993
MARITAL_STATUS_Состою в браке,-0.24894484013298798
AGE,-0.200317984860793
SOCSTATUS_PENS_FL_1,-0.19264889779444372
CHILD_TOTAL,0.16742021358721268
FL_PRESENCE_FL_1,-0.10379474791842294
MARITAL_STATUS_Разведен(а),0.10032359680583448
MARITAL_STATUS_Не состоял в браке,-0.09512326786868264
GENDER_0,-0.08761058346945785
GENDER_1,-0.06308605920498167
MARITAL_STATUS_Гражданский брак,0.06290703755008348
FL_PRESENCE_FL_0,-0.04690189475617533
SOCSTATUS_PENS_FL_0,0.04195225511985443
MARITAL_STATUS_Вдовец/Вдова,0.03014083097141253
OWN_AUTO,0.013620544869186036
DEPENDANTS,0.008293733099723638
